Mumbai, Maharashtra, Gateway of India, 20,667,656
Delhi, Delhi, Red Fort, 16,787,941
Bangalore, Karnataka, Lalbagh Botanical Garden, 12,764,935
Hyderabad, Telangana, Charminar, 10,534,418
Ahmedabad, Gujarat, Sabarmati Ashram, 8,059,441
Chennai, Tamil Nadu, Marina Beach, 7,088,000
Kolkata, West Bengal, Victoria Memorial, 14,850,066
Pune, Maharashtra, Shaniwar Wada, 7,680,000
Jaipur, Rajasthan, Hawa Mahal, 4,100,000
Lucknow, Uttar Pradesh, Bara Imambara, 3,850,000
Chandigarh, Chandigarh, Rock Garden, 1,100,000
Bhopal, Madhya Pradesh, Upper Lake, 2,400,000
Varanasi, Uttar Pradesh, Kashi Vishwanath Temple, 1,700,000
Amritsar, Punjab, Golden Temple, 1,500,000
Surat, Gujarat, Dumas Beach, 7,100,000
Patna, Bihar, Golghar, 2,500,000
Kochi, Kerala, Fort Kochi, 2,300,000
Guwahati, Assam, Kamakhya Temple, 1,200,000
Indore, Madhya Pradesh, Rajwada Palace, 3,000,000
Nagpur, Maharashtra, Deekshabhoomi, 2,900,000
Mumbai, Maharashtra, Gateway of India, 20,667,656
Delhi, Delhi, Red Fort, 16,787,941
Bangalore, Karnataka, Lalbagh Botanical Garden, 12,764,935
Hyderabad, Telangana, Charminar, 10,534,418
Ahmedabad, Gujarat, Sabarmati Ashram, 8,059,441
Chennai, Tamil Nadu, Marina Beach, 7,088,000
Kolkata, West Bengal, Victoria Memorial, 14,850,066
Pune, Maharashtra, Shaniwar Wada, 7,680,000
Jaipur, Rajasthan, Hawa Mahal, 4,100,000
Lucknow, Uttar Pradesh, Bara Imambara, 3,850,000
Chandigarh, Chandigarh, Rock Garden, 1,100,000
Bhopal, Madhya Pradesh, Upper Lake, 2,400,000
Varanasi, Uttar Pradesh, Kashi Vishwanath Temple, 1,700,000
Amritsar, Punjab, Golden Temple, 1,500,000
Surat, Gujarat, Dumas Beach, 7,100,000
Patna, Bihar, Golghar, 2,500,000
Kochi, Kerala, Fort Kochi, 2,300,000
Guwahati, Assam, Kamakhya Temple, 1,200,000
Indore, Madhya Pradesh, Rajwada Palace, 3,000,000
Nagpur, Maharashtra, Deekshabhoomi, 2,900,000
Mumbai, Maharashtra, Gateway of India, 20,667,656
Delhi, Delhi, Red Fort, 16,787,941
Bangalore, Karnataka, Lalbagh Botanical Garden, 12,764,935
Hyderabad, Telangana, Charminar, 10,534,418
Ahmedabad, Gujarat, Sabarmati Ashram, 8,059,441
Chennai, Tamil Nadu, Marina Beach, 7,088,000
Kolkata, West Bengal, Victoria Memorial, 14,850,066
Pune, Maharashtra, Shaniwar Wada, 7,680,000
Jaipur, Rajasthan, Hawa Mahal, 4,100,000
Lucknow, Uttar Pradesh, Bara Imambara, 3,850,000
Chandigarh, Chandigarh, Rock Garden, 1,100,000
Bhopal, Madhya Pradesh, Upper Lake, 2,400,000
Varanasi, Uttar Pradesh, Kashi Vishwanath Temple, 1,700,000
Amritsar, Punjab, Golden Temple, 1,500,000
Surat, Gujarat, Dumas Beach, 7,100,000
Patna, Bihar, Golghar, 2,500,000
Kochi, Kerala, Fort Kochi, 2,300,000
Guwahati, Assam, Kamakhya Temple, 1,200,000
Indore, Madhya Pradesh, Rajwada Palace, 3,000,000
Nagpur, Maharashtra, Deekshabhoomi, 2,900,000
Mumbai, Maharashtra, Gateway of India, 20,667,656
Delhi, Delhi, Red Fort, 16,787,941
Bangalore, Karnataka, Lalbagh Botanical Garden, 12,764,935
Hyderabad, Telangana, Charminar, 10,534,418
Ahmedabad, Gujarat, Sabarmati Ashram, 8,059,441
Chennai, Tamil Nadu, Marina Beach, 7,088,000
Kolkata, West Bengal, Victoria Memorial, 14,850,066
Pune, Maharashtra, Shaniwar Wada, 7,680,000
Jaipur, Rajasthan, Hawa Mahal, 4,100,000
Lucknow, Uttar Pradesh, Bara Imambara, 3,850,000
Chandigarh, Chandigarh, Rock Garden, 1,100,000
Bhopal, Madhya Pradesh, Upper Lake, 2,400,000
Varanasi, Uttar Pradesh, Kashi Vishwanath Temple, 1,700,000
Amritsar, Punjab, Golden Temple, 1,500,000
Surat, Gujarat, Dumas Beach, 7,100,000
Patna, Bihar, Golghar, 2,500,000
Kochi, Kerala, Fort Kochi, 2,300,000
Guwahati, Assam, Kamakhya Temple, 1,200,000
Indore, Madhya Pradesh, Rajwada Palace, 3,000,000
Nagpur, Maharashtra, Deekshabhoomi, 2,900,000
Mumbai, Maharashtra, Gateway of India, 20,667,656
Delhi, Delhi, Red Fort, 16,787,941
Bangalore, Karnataka, Lalbagh Botanical Garden, 12,764,935
Hyderabad, Telangana, Charminar, 10,534,418
Ahmedabad, Gujarat, Sabarmati Ashram, 8,059,441
Chennai, Tamil Nadu, Marina Beach, 7,088,000
Kolkata, West Bengal, Victoria Memorial, 14,850,066
Pune, Maharashtra, Shaniwar Wada, 7,680,000
Jaipur, Rajasthan, Hawa Mahal, 4,100,000
Lucknow, Uttar Pradesh, Bara Imambara, 3,850,000
Chandigarh, Chandigarh, Rock Garden, 1,100,000
Bhopal, Madhya Pradesh, Upper Lake, 2,400,000
Varanasi, Uttar Pradesh, Kashi Vishwanath Temple, 1,700,000
Amritsar, Punjab, Golden Temple, 1,500,000
Surat, Gujarat, Dumas Beach, 7,100,000
Patna, Bihar, Golghar, 2,500,000
Kochi, Kerala, Fort Kochi, 2,300,000
Guwahati, Assam, Kamakhya Temple, 1,200,000
Indore, Madhya Pradesh, Rajwada Palace, 3,000,000
Nagpur, Maharashtra, Deekshabhoomi, 2,900,000
Mumbai, Maharashtra, Gateway of India, 20,667,656
Delhi, Delhi, Red Fort, 16,787,941
Bangalore, Karnataka, Lalbagh Botanical Garden, 12,764,935
Hyderabad, Telangana, Charminar, 10,534,418
Ahmedabad, Gujarat, Sabarmati Ashram, 8,059,441
Chennai, Tamil Nadu, Marina Beach, 7,088,000
Kolkata, West Bengal, Victoria Memorial, 14,850,066
Pune, Maharashtra, Shaniwar Wada, 7,680,000
Jaipur, Rajasthan, Hawa Mahal, 4,100,000
Lucknow, Uttar Pradesh, Bara Imambara, 3,850,000
Chandigarh, Chandigarh, Rock Garden, 1,100,000
Bhopal, Madhya Pradesh, Upper Lake, 2,400,000
Varanasi, Uttar Pradesh, Kashi Vishwanath Temple, 1,700,000
Amritsar, Punjab, Golden Temple, 1,500,000
Surat, Gujarat, Dumas Beach, 7,100,000
Patna, Bihar, Golghar, 2,500,000
Kochi, Kerala, Fort Kochi, 2,300,000
Guwahati, Assam, Kamakhya Temple, 1,200,000
Indore, Madhya Pradesh, Rajwada Palace, 3,000,000
Nagpur, Maharashtra, Deekshabhoomi, 2,900,000
Mumbai, Maharashtra, Gateway of India, 20,667,656
Delhi, Delhi, Red Fort, 16,787,941
Bangalore, Karnataka, Lalbagh Botanical Garden, 12,764,935
Hyderabad, Telangana, Charminar, 10,534,418
Ahmedabad, Gujarat, Sabarmati Ashram, 8,059,441
Chennai, Tamil Nadu, Marina Beach, 7,088,000
Kolkata, West Bengal, Victoria Memorial, 14,850,066
Pune, Maharashtra, Shaniwar Wada, 7,680,000
Jaipur, Rajasthan, Hawa Mahal, 4,100,000
Lucknow, Uttar Pradesh, Bara Imambara, 3,850,000
Chandigarh, Chandigarh, Rock Garden, 1,100,000
Bhopal, Madhya Pradesh, Upper Lake, 2,400,000
Varanasi, Uttar Pradesh, Kashi Vishwanath Temple, 1,700,000
Amritsar, Punjab, Golden Temple, 1,500,000
Surat, Gujarat, Dumas Beach, 7,100,000
Patna, Bihar, Golghar, 2,500,000
Kochi, Kerala, Fort Kochi, 2,300,000
Guwahati, Assam, Kamakhya Temple, 1,200,000
